skill_id,name,category,difficulty,description
1,React,Frontend,Intermediate,"Component-based UI library with hooks, virtual DOM, and modern state management"
2,JavaScript,Frontend,Beginner,"Core programming language of the web supporting ES6+, async/await, and event-driven architecture"
3,TypeScript,Frontend,Intermediate,"Typed superset of JavaScript providing static type checking and modern tooling"
4,HTML & CSS,Frontend,Beginner,"Standard markup and stylesheet languages for responsive web design, Flexbox, and Grid"
5,Tailwind CSS,Frontend,Beginner,"Utility-first CSS framework for rapid responsive UI development"
6,Next.js,Frontend,Advanced,"React framework with Server-Side Rendering, Static Site Generation, and App Router"
7,FastAPI,Backend,Intermediate,"Modern, high-performance Python web framework for building APIs with type hints and Pydantic"
8,Python,Backend,Beginner,"Versatile programming language widely used for backend development, AI, and data science"
9,Node.js,Backend,Intermediate,"JavaScript runtime environment for building scalable network and server applications"
10,Express,Backend,Beginner,"Fast, unopinionated, minimalist web framework for Node.js"
11,REST APIs,Backend,Intermediate,"Architectural style for designing networked web services, HTTP verbs, and status codes"
12,GraphQL,Backend,Advanced,"Query language for APIs and runtime for fulfilling queries with existing data"
13,PostgreSQL,Database,Intermediate,"Powerful, open-source object-relational database system with advanced indexing and ACID compliance"
14,SQL,Database,Beginner,"Structured Query Language for querying and managing relational databases"
15,MongoDB,Database,Intermediate,"Document-oriented NoSQL database for flexible JSON-like data storage"
16,Redis,Database,Intermediate,"In-memory key-value data structure store used as a database, cache, and message broker"
17,Docker,DevOps,Intermediate,"Platform for building, shipping, and running distributed applications in lightweight containers"
18,Docker Compose,DevOps,Intermediate,"Tool for defining and running multi-container Docker applications"
19,Kubernetes,DevOps,Advanced,"Container orchestration system for automating deployment, scaling, and management"
20,Git & GitHub,DevOps,Beginner,"Distributed version control system and collaborative development platform"
21,CI/CD Pipelines,DevOps,Intermediate,"Continuous Integration and Continuous Deployment automation with GitHub Actions"
22,AWS Cloud,Cloud,Intermediate,"Amazon Web Services cloud computing platform (EC2, S3, RDS, Lambda)"
23,System Design,Architecture,Advanced,"Architecting scalable, distributed, high-availability software systems and microservices"
24,Testing (PyTest/Jest),Quality,Intermediate,"Automated unit, integration, and end-to-end testing practices and frameworks"
25,Java,Backend,Beginner,"Class-based, object-oriented programming language for robust enterprise applications"
26,Machine Learning Basics,AI/ML,Intermediate,"Supervised and unsupervised algorithms, scikit-learn, and model evaluation"
27,Deep Learning & PyTorch,AI/ML,Advanced,"Neural network architectures, PyTorch tensor computations, and training loops"
28,RAG & LLM Engineering,AI/ML,Advanced,"Retrieval-Augmented Generation, vector embeddings, LangChain, and prompt engineering"
